scan_time,ticker,current_price,ctx_Y_closed,ctx_Q_closed,ctx_M_closed,ctx_W_closed,ctx_D_closed,ctx_Y_live,ctx_Q_live,ctx_M_live,ctx_W_live,ctx_D_live,score,sector,industry,etfs,etf_count,etfs_pretty
2026-05-06 18:48:21 EDT,SPY,733.77,2U,3,2U,2U,2U,2U,2U,2U,2U,2U,11,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,QQQ,695.59,2U,2D,2U,2U,2U,2U,2U,2U,2U,2U,7,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,IWM,286.82,3,2U,2U,3,2U,2U,2U,2U,2U,2U,8,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,DIA,498.98,3,3,2U,3,2U,2U,1,2U,2U,2U,4,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,XLK,169.96,3,2D,2U,2U,2U,2U,2U,2U,2U,2U,2,Information Technology,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLF,51.82,2U,3,2U,2D,2U,2U,1,1,1,2U,7,Financials,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLE,56.98,2D,2U,2D,2U,2D,2U,1,1,1,2D,-3,Energy,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLY,119.89,2U,3,2U,2D,2U,2U,1,1,2U,2U,7,Consumer Discretionary,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLP,84.23,1,2U,2D,2U,2U,2U,1,2U,1,2U,4,Consumer Staples,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLU,45.7,2U,3,1,2U,2D,2U,1,1,1,2D,6,Utilities,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLV,145.38,2D,2U,2D,2D,2U,2U,2D,1,1,2U,-5,Health Care,Sector ETF,,0,
2026-05-06 18:48:21 EDT,XLI,176.87,2U,2U,1,3,2U,2U,1,2U,2U,2U,10,Industrials,Sector ETF,,0,
2026-05-06 18:48:21 EDT,SMH,549.32,2U,2U,2U,2U,2U,2U,2U,2U,2U,2U,15,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,ARKK,79.54,2U,2D,2U,2D,2U,1,1,1,2U,2U,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,TLT,86.08,2D,2D,2D,2D,2U,1,2D,2D,2D,2U,-13,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,GLD,430.83,2U,2U,1,2D,2U,2U,1,2D,3,2U,8,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,NVDA,207.66,2U,2D,2U,3,2U,2U,2U,1,2D,2U,5,Information Technology,Unknown,ARKK|DIA|QQQ|SMH|SPY|XLK,6,"ARKK, DIA, QQQ, SMH, SPY, XLK"
2026-05-06 18:48:21 EDT,AAPL,287.53,2U,2D,2U,3,2U,1,2U,2U,2U,2U,5,Information Technology,Unknown,DIA|QQQ|SPY|XLK,4,"DIA, QQQ, SPY, XLK"
2026-05-06 18:48:21 EDT,GOOGL,397.8,2U,2U,2U,2U,2U,2U,2U,2U,2U,2U,15,Communication Services,Unknown,QQQ|SPY,2,"QQQ, SPY"
2026-05-06 18:48:21 EDT,MSFT,413.76,3,2D,2U,2D,3,1,1,1,1,3,-3,Information Technology,Unknown,DIA|QQQ|SPY|XLK,4,"DIA, QQQ, SPY, XLK"
2026-05-06 18:48:21 EDT,AMZN,274.91,2U,2D,2U,2U,2D,2U,2U,2U,2U,2D,5,Consumer Discretionary,Unknown,ARKK|DIA|QQQ|SPY|XLY,5,"ARKK, DIA, QQQ, SPY, XLY"
2026-05-06 18:48:21 EDT,META,612.54,2U,2D,2U,2D,3,1,1,1,2D,3,2,Communication Services,Unknown,QQQ|SPY,2,"QQQ, SPY"
2026-05-06 18:48:21 EDT,AVGO,425.28,2U,2D,2U,1,3,2U,2U,2U,2U,3,4,Information Technology,Unknown,QQQ|SMH|SPY|XLK,4,"QQQ, SMH, SPY, XLK"
2026-05-06 18:48:21 EDT,TSLA,398.52,2U,2D,2D,2D,2D,1,2D,1,2U,2D,-5,Consumer Discretionary,Unknown,ARKK|QQQ|SPY|XLY,4,"ARKK, QQQ, SPY, XLY"
2026-05-06 18:48:21 EDT,TSM,419.44,2U,2U,2U,2U,2U,2U,2U,2U,2U,2U,15,Unknown,Unknown,ARKK|SMH,2,"ARKK, SMH"
2026-05-06 18:48:21 EDT,BRK-B,469.89,2U,2D,2D,2U,2U,1,2D,1,3,2U,1,Financials,Unknown,SPY|XLF,2,"SPY, XLF"
2026-05-06 18:48:21 EDT,LLY,987.05,2U,2U,2D,3,2U,2U,2D,2U,2U,2U,7,Health Care,Unknown,SPY|XLV,2,"SPY, XLV"
2026-05-06 18:48:21 EDT,WMT,130.06,2U,2U,2U,3,2D,2U,1,2U,1,2D,11,Consumer Staples,Unknown,DIA|SPY|XLP,3,"DIA, SPY, XLP"
2026-05-06 18:48:21 EDT,JPM,314.88,2U,3,2U,2D,2U,2U,1,1,3,2U,7,Financials,Unknown,DIA|SPY|XLF,3,"DIA, SPY, XLF"
2026-05-06 18:48:21 EDT,V,318.7,2U,3,3,2U,2D,2D,2D,1,1,2D,6,Financials,Unknown,DIA|SPY|XLF,3,"DIA, SPY, XLF"
2026-05-06 18:48:21 EDT,ORCL,193.99,2U,2D,3,2D,2U,1,2D,2U,2U,2U,0,Information Technology,Unknown,XLK,1,XLK
2026-05-06 18:48:21 EDT,MA,491.79,2U,3,2U,3,2D,1,1,1,2D,2D,7,Financials,Unknown,SPY|XLF,2,"SPY, XLF"
2026-05-06 18:48:21 EDT,XOM,148.56,1,2U,2D,2U,2D,2U,1,1,2D,2D,2,Energy,Unknown,SPY|XLE,2,"SPY, XLE"
2026-05-06 18:48:21 EDT,JNJ,224.5,3,2U,2D,1,2D,2U,1,2D,2D,2D,0,Health Care,Unknown,DIA|SPY|XLV,3,"DIA, SPY, XLV"
2026-05-06 18:48:21 EDT,ASML,1544.19,3,2U,2U,2D,2U,2U,1,2U,2U,2U,6,Unknown,Unknown,SMH,1,SMH
2026-05-06 18:48:21 EDT,PLTR,133.76,2U,2D,2D,2D,2D,1,2D,1,3,2D,-5,Information Technology,Unknown,ARKK|QQQ|SPY|XLK,4,"ARKK, QQQ, SPY, XLK"
2026-05-06 18:48:21 EDT,BAC,53.56,2U,3,2U,2D,2U,2U,1,1,2U,2U,7,Financials,Unknown,SPY|XLF,2,"SPY, XLF"
2026-05-06 18:48:21 EDT,NFLX,88.22,2U,2D,3,2D,2D,2D,2U,2D,2D,2D,-2,Communication Services,Unknown,QQQ|SPY,2,"QQQ, SPY"
2026-05-06 18:48:21 EDT,ABBV,204.91,2U,2D,2D,3,2D,1,2D,1,1,2D,-3,Health Care,Unknown,SPY|XLV,2,"SPY, XLV"
2026-05-06 18:48:21 EDT,COST,995.36,2U,2U,2U,3,2D,1,2U,1,1,2D,11,Consumer Staples,Unknown,QQQ|SPY|XLP,3,"QQQ, SPY, XLP"
2026-05-06 18:48:21 EDT,MU,666.9,3,2U,2U,2U,2U,2U,2U,2U,2U,2U,10,Information Technology,Unknown,QQQ|SMH|SPY|XLK,4,"QQQ, SMH, SPY, XLK"
2026-05-06 18:48:21 EDT,AMD,421.42,3,1,2U,2U,2U,2U,2U,2U,2U,2U,6,Information Technology,Unknown,ARKK|QQQ|SMH|SPY|XLK,5,"ARKK, QQQ, SMH, SPY, XLK"
2026-05-06 18:48:21 EDT,HD,323.03,1,2D,2D,2D,2U,2D,2D,2D,2D,2U,-8,Consumer Discretionary,Unknown,DIA|SPY|XLY,3,"DIA, SPY, XLY"
2026-05-06 18:48:21 EDT,GE,305.74,2U,3,2D,1,2U,2U,2D,1,3,2U,3,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,BABA,141.45,2U,2D,3,2D,2U,1,2D,1,2U,2U,0,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,PG,147.9,2D,3,2D,1,2U,2D,1,1,2D,2U,-7,Consumer Staples,Unknown,DIA|XLP,2,"DIA, XLP"
2026-05-06 18:48:21 EDT,UNH,367.1,2D,2D,2U,2U,2D,1,2U,2U,1,2D,-5,Health Care,Unknown,DIA|XLV,2,"DIA, XLV"
2026-05-06 18:48:21 EDT,CVX,185.13,3,2U,2D,2U,2D,2U,1,1,2D,2D,2,Energy,Unknown,DIA|XLE,2,"DIA, XLE"
2026-05-06 18:48:21 EDT,WFC,80.39,2U,3,2U,1,2U,2U,1,1,2D,2U,9,Financials,Unknown,XLF,1,XLF
