ticker,etfs,etf_count
NVDA,ARKK|DIA|QQQ|SMH|SPY|XLK,6
AAPL,DIA|QQQ|SPY|XLK,4
MSFT,DIA|QQQ|SPY|XLK,4
AMZN,ARKK|DIA|QQQ|SPY|XLY,5
GOOGL,QQQ|SPY,2
AVGO,QQQ|SMH|SPY|XLK,4
GOOG,QQQ|SPY,2
META,QQQ|SPY,2
TSLA,ARKK|QQQ|SPY|XLY,4
BRK-B,SPY|XLF,2
JPM,DIA|SPY|XLF,3
LLY,SPY|XLV,2
V,DIA|SPY|XLF,3
XOM,SPY|XLE,2
WMT,DIA|SPY|XLP,3
JNJ,DIA|SPY|XLV,3
MA,SPY|XLF,2
COST,QQQ|SPY|XLP,3
PLTR,ARKK|QQQ|SPY|XLK,4
ABBV,SPY|XLV,2
NFLX,QQQ|SPY,2
BAC,SPY|XLF,2
MU,QQQ|SMH|SPY|XLK,4
HD,DIA|SPY|XLY,3
AMD,ARKK|QQQ|SMH|SPY|XLK,5
CSCO,QQQ|XLK,2
LRCX,QQQ|SMH|XLK,3
AMAT,QQQ|SMH|XLK,3
TMUS,QQQ,1
ISRG,QQQ|XLV,2
SHOP,ARKK|QQQ,2
LIN,QQQ,1
INTC,QQQ|SMH|XLK,3
QCOM,QQQ|SMH|XLK,3
PEP,QQQ|XLP,2
APP,QQQ|XLK,2
BE,IWM,1
CRDO,IWM,1
KTOS,ARKK|IWM,2
IONQ,IWM,1
SATS,IWM,1
FN,IWM,1
HL,IWM,1
AVAV,IWM,1
GH,IWM,1
NXT,IWM,1
CDE,IWM,1
BBIO,IWM,1
OKLO,IWM,1
XTSLA,IWM,1
RMBS,IWM,1
SPXC,IWM,1
ENSG,IWM,1
MDGL,IWM,1
DY,IWM,1
QBTS,IWM,1
GTLS,IWM,1
STRL,IWM,1
UMBF,IWM,1
APLD,IWM,1
ARWR,IWM,1
GS,DIA|XLF,2
CAT,DIA|XLI,2
AXP,DIA|XLF,2
UNH,DIA|XLV,2
SHW,DIA,1
AMGN,DIA|XLV,2
MCD,DIA|XLY,2
IBM,DIA|XLK,2
TRV,DIA,1
CRM,DIA|XLK,2
BA,DIA|XLI,2
HON,DIA|XLI,2
MMM,DIA|XLI,2
CVX,DIA|XLE,2
PG,DIA|XLP,2
DIS,DIA,1
TSM,ARKK|SMH,2
ASML,SMH,1
KLAC,SMH|XLK,2
TXN,SMH|XLK,2
ADI,SMH|XLK,2
SNPS,SMH,1
CDNS,SMH,1
MRVL,SMH,1
NXPI,SMH,1
MPWR,SMH,1
MCHP,SMH,1
TER,ARKK|SMH,2
STM,SMH,1
ON,SMH,1
SWKS,SMH,1
QRVO,SMH,1
OLED,SMH,1
ORCL,XLK,1
INTU,XLK,1
ACN,XLK,1
APH,XLK,1
NOW,XLK,1
ADBE,XLK,1
PANW,XLK,1
WFC,XLF,1
MS,XLF,1
C,XLF,1
SPGI,XLF,1
SCHW,XLF,1
COF,XLF,1
BLK,XLF,1
PGR,XLF,1
BX,XLF,1
CB,XLF,1
ICE,XLF,1
CME,XLF,1
KKR,XLF,1
MMC,XLF,1
HOOD,ARKK|XLF,2
USB,XLF,1
PNC,XLF,1
BK,XLF,1
COP,XLE,1
SLB,XLE,1
WMB,XLE,1
VLO,XLE,1
PSX,XLE,1
EOG,XLE,1
KMI,XLE,1
MPC,XLE,1
BKR,XLE,1
OKE,XLE,1
TRGP,XLE,1
EQT,XLE,1
OXY,XLE,1
FANG,XLE,1
HAL,XLE,1
EXE,XLE,1
DVN,XLE,1
CTRA,XLE,1
TPL,XLE,1
APA,XLE,1
NAN,GLD|TLT|XLE,3
TJX,XLY,1
BKNG,XLY,1
LOW,XLY,1
SBUX,XLY,1
DASH,XLY,1
GM,XLY,1
NKE,XLY,1
ORLY,XLY,1
RCL,XLY,1
MAR,XLY,1
HLT,XLY,1
CVNA,XLY,1
ROST,XLY,1
ABNB,XLY,1
F,XLY,1
AZO,XLY,1
CMG,XLY,1
YUM,XLY,1
EBAY,XLY,1
DHI,XLY,1
EXPE,XLY,1
KO,XLP,1
PM,XLP,1
MDLZ,XLP,1
CL,XLP,1
MO,XLP,1
MNST,XLP,1
TGT,XLP,1
KDP,XLP,1
KR,XLP,1
SYY,XLP,1
KMB,XLP,1
KVUE,XLP,1
DG,XLP,1
ADM,XLP,1
HSY,XLP,1
EL,XLP,1
DLTR,XLP,1
GIS,XLP,1
STZ,XLP,1
CHD,XLP,1
KHC,XLP,1
NEE,XLU,1
CEG,XLU,1
SO,XLU,1
DUK,XLU,1
AEP,XLU,1
SRE,XLU,1
D,XLU,1
VST,XLU,1
EXC,XLU,1
XEL,XLU,1
ETR,XLU,1
PEG,XLU,1
ED,XLU,1
PCG,XLU,1
WEC,XLU,1
NRG,XLU,1
AEE,XLU,1
DTE,XLU,1
ATO,XLU,1
PPL,XLU,1
ES,XLU,1
AWK,XLU,1
CNP,XLU,1
FE,XLU,1
EIX,XLU,1
MRK,XLV,1
TMO,XLV,1
ABT,XLV,1
GILD,XLV,1
DHR,XLV,1
BSX,XLV,1
PFE,XLV,1
MDT,XLV,1
SYK,XLV,1
VRTX,XLV,1
BMY,XLV,1
CVS,XLV,1
MCK,XLV,1
ELV,XLV,1
REGN,XLV,1
HCA,XLV,1
CI,XLV,1
COR,XLV,1
BDX,XLV,1
GE,XLI,1
RTX,XLI,1
UBER,XLI,1
GEV,XLI,1
UNP,XLI,1
ETN,XLI,1
DE,XLI,1
PH,XLI,1
LMT,XLI,1
ADP,XLI,1
GD,XLI,1
HWM,XLI,1
TT,XLI,1
NOC,XLI,1
WM,XLI,1
EMR,XLI,1
UPS,XLI,1
TDG,XLI,1
CMI,XLI,1
FDX,XLI,1
JCI,XLI,1
ROKU,ARKK,1
CRSP,ARKK,1
COIN,ARKK,1
TEM,ARKK,1
BEAM,ARKK,1
RBLX,ARKK,1
CRCL,ARKK,1
BMNR,ARKK,1
ACHR,ARKK,1
TXG,ARKK,1
TWST,ARKK,1
ILMN,ARKK,1
BLSH,ARKK,1
XYZ,ARKK,1
VCYT,ARKK,1
